,Model,Number,rmse
0,RegVelo(decouple),0,0.3093944489955902
1,RegVelo(decouple),0,0.314715713262558
2,RegVelo(decouple),0,0.3145028352737427
3,RegVelo(decouple),0,0.292440801858902
4,RegVelo(decouple),0,0.25887027382850647
5,RegVelo_global,0,0.26573461294174194
6,RegVelo_global,0,0.7072257995605469
7,RegVelo_global,0,0.6935309767723083
8,RegVelo_global,0,0.28066784143447876
9,RegVelo_global,0,0.289534330368042
10,VeloVI,0,0.14601865410804749
11,VeloVI,0,0.14251437783241272
12,VeloVI,0,0.14657825231552124
13,VeloVI,0,0.14095652103424072
14,VeloVI,0,0.14290422201156616
15,RegVeloVI,0,0.06969092041254044
16,RegVeloVI,0,0.06529349088668823
17,RegVeloVI,0,0.07036873698234558
18,RegVeloVI,0,0.07560569792985916
19,RegVeloVI,0,0.06840851902961731
